"","latitude","longitude","room_type","price","guests_included","minimum_nights","review_scores_rating","cancellation_policy","host_is_superhost","number_of_reviews","number_of_reviews_ltm","bathrooms","bedrooms","beds","bed_type","zipcode","has_reviews"
"8",30.28027,-97.75596,"Entire home/apt",95,2,2,98,"moderate","t",138,40,1,2,3,"Real Bed","78703",TRUE
"9",30.27722,-97.76088,"Entire home/apt",95,1,2,97,"flexible","t",95,13,1,1,1,"Real Bed","78703",TRUE
"12",30.29996,-97.77832,"Entire home/apt",59,2,2,99,"moderate","t",121,69,1,1,1,"Real Bed","78703",TRUE
"14",30.30038,-97.77886,"Entire home/apt",105,2,2,99,"moderate","t",352,40,1,1,2,"Real Bed","78703",TRUE
"18",30.28271,-97.75881,"Entire home/apt",300,2,7,100,"strict_14_with_grace_period","f",3,0,1,0,2,"Real Bed","78703",TRUE
"19",30.28188,-97.76413,"Entire home/apt",500,1,3,100,"strict_14_with_grace_period","f",2,1,2.5,3,3,"Real Bed","78703",TRUE
"22",30.29717,-97.77102,"Entire home/apt",249,4,3,96.17773167,"strict_14_with_grace_period","f",0,0,1,2,2,"Real Bed","78703",FALSE
"39",30.29187,-97.76824,"Entire home/apt",115,2,2,99,"strict_14_with_grace_period","t",264,34,1,1,1,"Real Bed","78703",TRUE
"40",30.27577,-97.75608,"Entire home/apt",152,2,2,97,"moderate","t",175,33,1,2,2,"Real Bed","78703",TRUE
"56",30.28408,-97.76828,"Entire home/apt",500,1,4,96.17773167,"strict_14_with_grace_period","f",0,0,2,3,3,"Real Bed","78703",FALSE
"73",30.27869,-97.75311,"Entire home/apt",205,2,2,97,"moderate","t",36,13,1,1,2,"Real Bed","78703",TRUE
"76",30.27571,-97.75819,"Private room",300,1,2,100,"moderate","f",10,8,1,1,1,"Real Bed","78703",TRUE
"95",30.28281,-97.76417,"Entire home/apt",399,10,2,94,"strict_14_with_grace_period","t",38,8,3,6,17,"Real Bed","78703",TRUE
"122",30.31293,-97.76659,"Entire home/apt",450,6,3,96,"strict_14_with_grace_period","t",106,26,3,5,6,"Real Bed","78703",TRUE
"149",30.27434,-97.75466,"Entire home/apt",302,6,3,80,"strict_14_with_grace_period","f",1,0,2,3,3,"Real Bed","78703",TRUE
"150",30.28226,-97.76035,"Entire home/apt",156,1,5,100,"moderate","f",3,0,2,2,2,"Real Bed","78703",TRUE
"158",30.29933,-97.77637,"Private room",59,1,1,92,"moderate","t",42,6,1,1,1,"Real Bed","78703",TRUE
"162",30.28923,-97.7606,"Entire home/apt",248,4,3,100,"strict_14_with_grace_period","f",11,0,2,2,2,"Real Bed","78703",TRUE
"164",30.27927,-97.75422,"Entire home/apt",119,1,2,96,"strict_14_with_grace_period","f",12,5,1,1,1,"Real Bed","78703",TRUE
"212",30.27428,-97.75716,"Entire home/apt",224,1,2,98,"strict_14_with_grace_period","f",50,2,1,2,3,"Real Bed","78703",TRUE
"238",30.27634,-97.75923,"Entire home/apt",85,3,2,97,"strict_14_with_grace_period","t",89,17,1,1,2,"Real Bed","78703",TRUE
"243",30.28445,-97.77043,"Entire home/apt",95,2,2,100,"moderate","f",1,1,1,2,3,"Real Bed","78703",TRUE
"244",30.27933,-97.75131,"Entire home/apt",175,2,3,96,"moderate","f",10,1,1,1,1,"Real Bed","78703",TRUE
"270",30.27928,-97.76076,"Entire home/apt",139,1,12,96,"strict_14_with_grace_period","t",5,0,1.5,2,2,"Real Bed","78703",TRUE
"272",30.28116,-97.76067,"Entire home/apt",225,1,2,93,"strict_14_with_grace_period","f",9,0,1,1,1,"Real Bed","78703",TRUE
"285",30.27697,-97.76248,"Entire home/apt",135,2,2,99,"moderate","t",114,30,1,1,1,"Real Bed","78703",TRUE
"293",30.2952,-97.77236,"Entire home/apt",480,7,2,96,"strict_14_with_grace_period","f",23,1,2.5,4,4,"Real Bed","78703",TRUE
"305",30.27875,-97.75517,"Entire home/apt",262,1,3,99,"strict_14_with_grace_period","t",59,21,1,2,2,"Real Bed","78703",TRUE
"380",30.27914,-97.75668,"Entire home/apt",190,2,2,99,"moderate","f",46,9,1,1,1,"Real Bed","78703",TRUE
"382",30.27494,-97.75043,"Private room",148,2,2,100,"moderate","f",3,0,1,1,2,"Real Bed","78703",TRUE
"393",30.27886,-97.75973,"Entire home/apt",500,1,1,100,"flexible","f",7,1,1,2,3,"Real Bed","78703",TRUE
"435",30.27304,-97.7534,"Entire home/apt",150,1,4,89,"strict_14_with_grace_period","f",21,9,1,1,1,"Real Bed","78703",TRUE
"544",30.2966,-97.76174,"Entire home/apt",500,1,3,100,"strict_14_with_grace_period","f",2,0,2,3,3,"Real Bed","78703",TRUE
"556",30.28869,-97.75762,"Private room",150,2,2,99,"moderate","t",118,22,1,1,1,"Real Bed","78703",TRUE
"572",30.27691,-97.75292,"Entire home/apt",195,1,3,88,"strict_14_with_grace_period","f",33,5,2,2,2,"Real Bed","78703",TRUE
"609",30.27538,-97.75805,"Entire home/apt",375,6,2,98,"strict_14_with_grace_period","t",56,34,2,3,5,"Real Bed","78703",TRUE
"612",30.27434,-97.75441,"Entire home/apt",370,4,3,100,"strict_14_with_grace_period","f",6,0,2,3,3,"Real Bed","78703",TRUE
"614",30.2891,-97.76765,"Entire home/apt",300,1,1,96.17773167,"flexible","f",0,0,1,2,2,"Real Bed","78703",FALSE
"615",30.28859,-97.77159,"Entire home/apt",350,1,1,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"617",30.29426,-97.76297,"Entire home/apt",199,6,1,98,"strict_14_with_grace_period","t",73,12,1,2,2,"Real Bed","78703",TRUE
"618",30.29442,-97.76805,"Entire home/apt",400,1,3,90,"moderate","f",2,0,2,2,2,"Real Bed","78703",TRUE
"641",30.27684,-97.76042,"Entire home/apt",69,1,2,97,"strict_14_with_grace_period","t",297,60,1,1,1,"Real Bed","78703",TRUE
"649",30.27572,-97.75867,"Entire home/apt",485,1,2,100,"strict_14_with_grace_period","f",58,9,3,4,4,"Real Bed","78703",TRUE
"690",30.2916,-97.76038,"Entire home/apt",195,4,1,100,"moderate","t",388,102,1,2,2,"Real Bed","78703",TRUE
"709",30.27349,-97.75511,"Entire home/apt",120,1,1,90,"strict_14_with_grace_period","f",12,0,1,1,2,"Real Bed","78703",TRUE
"729",30.27896,-97.76119,"Entire home/apt",475,1,5,96.17773167,"strict_14_with_grace_period","f",0,0,1,2,3,"Real Bed","78703",FALSE
"731",30.27883,-97.7617,"Entire home/apt",500,5,3,100,"strict_14_with_grace_period","f",2,0,2.5,3,4,"Real Bed","78703",TRUE
"740",30.26883,-97.75637,"Private room",150,1,2,80,"strict_14_with_grace_period","f",1,0,1,1,1,"Real Bed","78703",TRUE
"748",30.27562,-97.76069,"Entire home/apt",230,4,2,100,"strict_14_with_grace_period","f",19,4,1,1,2,"Real Bed","78703",TRUE
"751",30.29463,-97.76336,"Entire home/apt",400,4,4,100,"strict_14_with_grace_period","f",1,0,2.5,3,4,"Real Bed","78703",TRUE
"761",30.29681,-97.74968,"Private room",93,2,1,99,"moderate","t",114,11,1,1,2,"Real Bed","78703",TRUE
"775",30.27512,-97.75706,"Private room",95,1,1,99,"strict_14_with_grace_period","t",34,12,1,1,1,"Real Bed","78703",TRUE
"782",30.27452,-97.75968,"Entire home/apt",350,1,1,100,"strict_14_with_grace_period","f",11,1,2.5,2,2,"Real Bed","78703",TRUE
"804",30.28984,-97.77338,"Entire home/apt",375,1,7,96.17773167,"moderate","f",0,0,1,2,2,"Real Bed","78703",FALSE
"808",30.29557,-97.77981,"Entire home/apt",470,1,3,99,"strict_14_with_grace_period","t",83,15,3,4,5,"Real Bed","78703",TRUE
"835",30.30307,-97.75708,"Entire home/apt",375,1,1,80,"flexible","f",1,0,2,3,3,"Real Bed","78703",TRUE
"847",30.29392,-97.76115,"Private room",175,1,2,96.17773167,"moderate","f",0,0,1,1,2,"Real Bed","78703",FALSE
"850",30.28359,-97.77586,"Entire home/apt",400,1,1,96.17773167,"flexible","f",0,0,1,2,2,"Real Bed","78703",FALSE
"858",30.27407,-97.75394,"Entire home/apt",200,1,2,99,"moderate","f",168,6,1,2,3,"Real Bed","78703",TRUE
"870",30.27612,-97.7558,"Private room",200,1,2,99,"flexible","t",34,13,1,1,1,"Real Bed","78703",TRUE
"884",30.30268,-97.75163,"Entire home/apt",120,1,7,100,"flexible","f",4,4,1,1,1,"Real Bed","78703",TRUE
"891",30.27527,-97.75784,"Entire home/apt",120,2,2,96,"strict_14_with_grace_period","t",182,38,1,1,1,"Real Bed","78703",TRUE
"892",30.27345,-97.75701,"Entire home/apt",165,2,2,95,"strict_14_with_grace_period","t",61,4,1,1,1,"Real Bed","78703",TRUE
"898",30.27595,-97.75958,"Entire home/apt",375,2,2,96.17773167,"moderate","f",0,0,1,2,3,"Real Bed","78703",FALSE
"930",30.27135,-97.75486,"Entire home/apt",213,2,1,99,"strict_14_with_grace_period","t",55,20,1.5,1,1,"Real Bed","78703",TRUE
"932",30.29023,-97.7726,"Entire home/apt",82,4,1,97,"moderate","t",60,32,1.5,2,3,"Real Bed","78703",TRUE
"953",30.27846,-97.75301,"Entire home/apt",349,6,1,95,"strict_14_with_grace_period","t",34,3,2,3,3,"Real Bed","78703",TRUE
"972",30.28325,-97.76136,"Entire home/apt",129,1,2,98,"moderate","t",76,15,1,1,1,"Real Bed","78703",TRUE
"1001",30.28517,-97.76185,"Private room",50,1,4,100,"moderate","f",2,0,1,1,1,"Real Bed","78703",TRUE
"1013",30.2933,-97.77711,"Entire home/apt",174,4,2,96,"strict_14_with_grace_period","f",9,4,1,2,3,"Real Bed","78703",TRUE
"1025",30.28527,-97.77234,"Entire home/apt",196,1,2,96,"moderate","t",40,18,1,2,5,"Real Bed","78703",TRUE
"1029",30.29475,-97.77657,"Private room",300,1,1,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"1031",30.27655,-97.75879,"Entire home/apt",200,1,4,60,"flexible","f",1,0,1.5,2,2,"Real Bed","78703",TRUE
"1049",30.2987,-97.75203,"Entire home/apt",118,1,2,98,"moderate","t",50,34,1,0,1,"Real Bed","78703",TRUE
"1053",30.28323,-97.76378,"Entire home/apt",85,2,2,98,"moderate","f",134,0,1,0,1,"Real Bed","78703",TRUE
"1054",30.2835,-97.76287,"Entire home/apt",450,1,1,100,"moderate","f",2,0,1,2,2,"Real Bed","78703",TRUE
"1065",30.2963,-97.78163,"Entire home/apt",150,1,2,96.17773167,"strict_14_with_grace_period","t",0,0,1,0,2,"Real Bed","78703",FALSE
"1078",30.27984,-97.76495,"Entire home/apt",218,4,1,99,"strict_14_with_grace_period","t",47,13,1,1,0,"Real Bed","78703",TRUE
"1080",30.28365,-97.75847,"Entire home/apt",500,1,1,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"1100",30.28524,-97.77192,"Entire home/apt",500,1,2,98,"flexible","f",10,0,1,1,2,"Real Bed","78703",TRUE
"1107",30.30863,-97.75209,"Private room",50,1,1,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"1129",30.29253,-97.75851,"Entire home/apt",189,3,2,89,"strict_14_with_grace_period","f",35,0,1,3,3,"Real Bed","78703",TRUE
"1134",30.28335,-97.77218,"Entire home/apt",150,1,1,100,"flexible","f",1,0,1,1,2,"Real Bed","78703",TRUE
"1171",30.27561,-97.755,"Entire home/apt",130,1,2,97,"strict_14_with_grace_period","t",131,26,1,1,2,"Real Bed","78703",TRUE
"1183",30.27577,-97.75465,"Entire home/apt",130,1,2,98,"strict_14_with_grace_period","t",161,32,1,1,2,"Real Bed","78703",TRUE
"1190",30.27429,-97.75508,"Entire home/apt",150,1,1,87,"flexible","f",3,0,1,1,1,"Real Bed","78703",TRUE
"1192",30.27857,-97.75909,"Entire home/apt",350,2,4,100,"strict_14_with_grace_period","f",9,4,2,3,2,"Real Bed","78703",TRUE
