"latitude","longitude","room_type","price","guests_included","minimum_nights","review_scores_rating","cancellation_policy","host_is_superhost","number_of_reviews","number_of_reviews_ltm","bathrooms","bedrooms","beds","bed_type","has_reviews"
30.26112,-97.73448,"Entire home/apt",95,2,2,96,"strict_14_with_grace_period","t",490,50,1,1,2,"Real Bed",TRUE
30.45596,-97.7837,"Private room",40,2,1,98,"moderate","t",250,19,1,1,1,"Real Bed",TRUE
30.26027,-97.76503,"Entire home/apt",129,2,3,99,"strict_14_with_grace_period","t",210,26,1,1,2,"Real Bed",TRUE
30.23616,-97.73682,"Entire home/apt",40,2,3,92,"strict_14_with_grace_period","f",46,2,1,1,1,"Real Bed",TRUE
30.25012,-97.74193,"Entire home/apt",260,4,2,94,"strict_14_with_grace_period","f",47,7,2,2,4,"Real Bed",TRUE
30.15645,-97.82411,"Entire home/apt",300,1,1,98,"strict_14_with_grace_period","f",25,2,2,3,3,"Real Bed",TRUE
30.29422,-97.74618,"Entire home/apt",220,4,2,97,"flexible","f",32,7,1,2,4,"Real Bed",TRUE
30.28027,-97.75596,"Entire home/apt",95,2,2,98,"moderate","t",138,40,1,2,3,"Real Bed",TRUE
30.27722,-97.76088,"Entire home/apt",95,1,2,97,"flexible","t",95,13,1,1,1,"Real Bed",TRUE
30.20273,-97.84439,"Entire home/apt",55,4,1,97,"strict_14_with_grace_period","f",9,0,2,3,3,"Real Bed",TRUE
30.4303,-97.69125,"Private room",35,1,5,98,"moderate","t",33,8,1,1,1,"Real Bed",TRUE
30.29996,-97.77832,"Entire home/apt",59,2,2,99,"moderate","t",121,69,1,1,1,"Real Bed",TRUE
30.35141,-97.76323,"Entire home/apt",350,1,2,98,"flexible","f",29,1,2,2,2,"Real Bed",TRUE
30.30038,-97.77886,"Entire home/apt",105,2,2,99,"moderate","t",352,40,1,1,2,"Real Bed",TRUE
30.37641,-97.70926,"Private room",45,1,3,100,"moderate","t",1,1,1,1,1,"Real Bed",TRUE
30.20093,-97.75318,"Entire home/apt",40,2,3,96,"moderate","t",239,39,1,1,2,"Futon",TRUE
30.28625,-97.75022,"Entire home/apt",100,1,5,97,"strict_14_with_grace_period","t",28,1,1,2,3,"Real Bed",TRUE
30.28271,-97.75881,"Entire home/apt",300,2,7,100,"strict_14_with_grace_period","f",3,0,1,0,2,"Real Bed",TRUE
30.28188,-97.76413,"Entire home/apt",500,1,3,100,"strict_14_with_grace_period","f",2,1,2.5,3,3,"Real Bed",TRUE
30.2444,-97.75121,"Entire home/apt",150,2,2,98,"strict_14_with_grace_period","t",157,20,1,0,1,"Real Bed",TRUE
30.25596,-97.76866,"Entire home/apt",99,2,1,98,"strict_14_with_grace_period","t",584,98,1,1,3,"Futon",TRUE
30.29717,-97.77102,"Entire home/apt",249,4,3,96.176,"strict_14_with_grace_period","f",0,0,1,2,2,"Real Bed",FALSE
30.31171,-97.72455,"Entire home/apt",89,2,2,98,"moderate","t",433,77,1,1,1,"Real Bed",TRUE
30.2607,-97.77194,"Entire home/apt",145,2,2,99,"strict_14_with_grace_period","t",82,48,1.5,1,1,"Real Bed",TRUE
30.25775,-97.76354,"Entire home/apt",159,1,2,95,"strict_14_with_grace_period","t",390,0,1,1,1,"Real Bed",TRUE
30.23152,-97.76434,"Entire home/apt",110,2,2,100,"moderate","t",410,73,1,1,1,"Real Bed",TRUE
30.23616,-97.76446,"Entire home/apt",150,1,2,100,"flexible","f",24,13,1,1,2,"Real Bed",TRUE
30.24501,-97.74986,"Entire home/apt",150,2,2,98,"strict_14_with_grace_period","t",131,16,1,1,3,"Real Bed",TRUE
30.2532,-97.77891,"Private room",125,2,3,99,"moderate","f",38,1,1,1,1,"Real Bed",TRUE
30.24604,-97.75329,"Entire home/apt",470,4,2,98,"strict_14_with_grace_period","f",39,2,2,2,2,"Real Bed",TRUE
30.24775,-97.76403,"Entire home/apt",145,4,2,95,"strict_14_with_grace_period","f",248,32,1,2,3,"Real Bed",TRUE
30.31383,-97.75161,"Entire home/apt",85,2,3,98,"moderate","t",311,36,1,1,1,"Real Bed",TRUE
30.41519,-97.73019,"Entire home/apt",230,4,2,97,"strict_14_with_grace_period","f",23,2,2.5,2,3,"Real Bed",TRUE
30.20857,-97.85673,"Private room",67,1,10,93,"flexible","f",26,0,2,2,2,"Real Bed",TRUE
30.24422,-97.77885,"Entire home/apt",90,2,2,97,"strict_14_with_grace_period","f",190,15,1,1,1,"Real Bed",TRUE
30.27656,-97.72166,"Private room",75,2,2,98,"moderate","f",87,3,1,1,1,"Real Bed",TRUE
30.23042,-97.78256,"Private room",77,1,1,100,"flexible","f",6,1,1.5,1,2,"Real Bed",TRUE
30.24773,-97.72584,"Entire home/apt",130,2,2,98,"moderate","t",242,27,1,1,1,"Real Bed",TRUE
30.29187,-97.76824,"Entire home/apt",115,2,2,99,"strict_14_with_grace_period","t",264,34,1,1,1,"Real Bed",TRUE
30.27577,-97.75608,"Entire home/apt",152,2,2,97,"moderate","t",175,33,1,2,2,"Real Bed",TRUE
30.29138,-97.71907,"Entire home/apt",125,2,2,99,"moderate","t",156,24,1,1,1,"Real Bed",TRUE
